matrix_size,threads,time,speedup,efficiency
512,1,0.038883,1.0,1.0
512,2,0.021852,1.7793794618341572,0.8896897309170786
512,4,0.011004,3.533533260632497,0.8833833151581243
512,8,0.010132,3.8376431109356495,0.4797053888669562
512,12,0.011202,3.471076593465453,0.28925638278878774
1024,1,0.292792,1.0,1.0
1024,2,0.147527,1.9846672134592314,0.9923336067296157
1024,4,0.087228,3.3566286054936487,0.8391571513734122
1024,8,0.060021,4.878159310907849,0.6097699138634811
1024,12,0.050556,5.791439196138936,0.48261993301157796
2048,1,2.245876,1.0,1.0
2048,2,1.211061,1.8544697583358725,0.9272348791679362
2048,4,0.739238,3.03809598532543,0.7595239963313575
2048,8,0.417283,5.3821411368304,0.6727676421038
2048,12,0.353428,6.35455029029958,0.529545857524965
4096,1,17.745193,1.0,1.0
4096,2,10.505735,1.6890958129059985,0.8445479064529993
4096,4,5.696381,3.115169613830255,0.7787924034575637
4096,8,3.681408,4.820219057491047,0.6025273821863809
4096,12,3.287597,5.39761807788485,0.4498015064904042